group,source_type,source_org,source_url,text,selection_rule_id,include,notes,n_words,temporal_urgency_count,temporal_urgency_present,temporal_urgency_density_100w,scarcity_marking_count,scarcity_marking_present,scarcity_marking_density_100w,fear_loss_framing_count,fear_loss_framing_present,fear_loss_framing_density_100w,coercive_cta_count,coercive_cta_present,coercive_cta_density_100w,authority_evoking_count,authority_evoking_present,authority_evoking_density_100w,social_proof_count,social_proof_present,social_proof_density_100w,certainty_guarantee_count,certainty_guarantee_present,certainty_guarantee_density_100w,superiority_performance_count,superiority_performance_present,superiority_performance_density_100w,transparency_supporting_count,transparency_supporting_present,transparency_supporting_density_100w,PPI_unweighted,CRI_unweighted,TSI_unweighted,PPI_100w,CRI_100w,TSI_100w
problematic,regulator,FTC,https://www.ftc.gov/enforcement/rules/rulemaking-regulatory-reform/negative-option-rule,"Act now — exclusive offer for new users. #1 best-selling software, guaranteed to work.",RULE_001,1,,14,1,1,7.142857142857143,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,7.142857142857143,0,0,0.0,0,0,0.0,1,1,0,7.142857142857143,7.142857142857143,0.0
problematic,regulator,FTC,https://www.ftc.gov/business-guidance/resources/fighting-weight-loss-fraud,"Guaranteed to work — 90-day money-back promise. Best results in the industry, proven.",RULE_001,1,,14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,7.142857142857143,0,0,0.0,0,0,0.0,0,1,0,0.0,7.142857142857143,0.0
problematic,regulator,FTC,https://www.ftc.gov/enforcement/cases-proceedings/weight-loss,"Act now — exclusive deal expires tonight. #1 best-selling formula, guaranteed to work.",RULE_001,1,,13,1,1,7.6923076923076925,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,7.6923076923076925,0,0,0.0,0,0,0.0,1,1,0,7.6923076923076925,7.6923076923076925,0.0
problematic,regulator,FTC,https://www.ftc.gov/enforcement/cases-proceedings/weight-loss,"Best results guaranteed or 100% money-back. Trusted by doctors, proven by science.",RULE_001,1,,13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0
problematic,regulator,FTC Warning Letters,https://www.ftc.gov/system/files/documents/warning_letters/warning-letters-companies-selling-dietary-supplements.pdf,"Limited time exclusive offer — buy now. #1 rated, results guaranteed or money back.",RULE_001,1,,13,1,1,7.6923076923076925,0,0,0.0,0,0,0.0,1,1,7.6923076923076925,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0,15.384615384615385,0.0,0.0
problematic,regulator,CFPB,https://www.consumerfinance.gov/enforcement/actions/,Free trial of our proven credit repair system. Results guaranteed in 30 days. Buy now.,RULE_001,1,,15,0,0,0.0,0,0,0.0,0,0,0.0,1,1,6.666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,6.666666666666667,0.0,0.0
problematic,regulator,FTC,https://www.ftc.gov/business-guidance/resources/fighting-weight-loss-fraud,Risk-free trial: try our #1 program for 30 days. Results guaranteed or full refund.,RULE_001,1,,15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0
problematic,regulator,FTC,https://www.ftc.gov/enforcement/rules/rulemaking-regulatory-reform/negative-option-rule,"Act now — best price guaranteed. Trusted by 10,000+ companies. Free trial, no credit card.",RULE_001,1,,15,1,1,6.666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,6.666666666666667,0.0,0.0
problematic,regulator,FTC Warning Letters,https://www.ftc.gov/system/files/documents/warning_letters/warning-letters-companies-selling-dietary-supplements.pdf,"Order now — exclusive deal, only 50 units left. #1 best seller, proven and guaranteed.",RULE_001,1,,14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0
problematic,regulator,FTC,https://www.ftc.gov/enforcement/rules/rulemaking-regulatory-reform/negative-option-rule,"Risk-free, guaranteed. Trusted by the best brands. Act now — deal expires at midnight.",RULE_001,1,,14,1,1,7.142857142857143,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,7.142857142857143,0.0,0.0
problematic,regulator,FTC Warning Letters,https://www.ftc.gov/system/files/documents/warning_letters/warning-letters-companies-selling-dietary-supplements.pdf,"Proven to increase testosterone naturally. Risk-free trial, money-back guarantee. Buy now.",RULE_001,1,,13,0,0,0.0,0,0,0.0,0,0,0.0,1,1,7.6923076923076925,0,0,0.0,0,0,0.0,1,1,7.6923076923076925,0,0,0.0,0,0,0.0,1,1,0,7.6923076923076925,7.6923076923076925,0.0
problematic,regulator,FTC,https://www.ftc.gov/enforcement/rules/rulemaking-regulatory-reform/negative-option-rule,"Free trial — risk-free for 14 days. Best-in-class features, results guaranteed.",RULE_001,1,,13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,7.6923076923076925,0,0,0.0,0,1,0,0.0,7.6923076923076925,0.0
problematic,regulator,FTC,https://www.ftc.gov/business-guidance/resources/fighting-weight-loss-fraud,"Instant results, proven effectiveness. Try risk-free for 60 days — guaranteed.",RULE_001,1,,11,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,9.090909090909092,0,0,0.0,0,0,0.0,0,1,0,0.0,9.090909090909092,0.0
problematic,regulator,FTC,https://www.ftc.gov/enforcement/rules/rulemaking-regulatory-reform/negative-option-rule,"Success guaranteed. Most effective marketing platform. Exclusive deal, limited time only.",RULE_001,1,,11,1,1,9.090909090909092,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,9.090909090909092,1,1,9.090909090909092,0,0,0.0,1,2,0,9.090909090909092,18.181818181818183,0.0
